"","Geneid","gene_name","M1_1","M1_2","M1_3","M2_1","M2_2","M2_3"
"19507","ENSG00000262185","RP11-462G12.1",1,0,0,5,0,3
"19508","ENSG00000162104","ADCY9",169,422,161,667,227,679
"19509","ENSG00000263159","RP11-462G12.4",0,0,0,0,0,0
"19510","ENSG00000262471","RP11-95P2.4",0,0,0,0,0,0
"19511","ENSG00000263105","RP11-95P2.3",0,0,0,0,0,1
"19512","ENSG00000185739","SRL",0,0,0,2,0,8
"19513","ENSG00000262468","RP11-95P2.1",17,30,27,45,10,63
"19514","ENSG00000090447","TFAP4",17,22,14,104,18,126
"19515","ENSG00000126603","GLIS2",13,21,5,160,50,56
"19516","ENSG00000262686","AC005356.1",2,5,3,6,2,28
"19517","ENSG00000217930","PAM16",48,59,19,101,23,102
"19518","ENSG00000262712","RP11-295D4.1",0,3,2,1,0,5
"19519","ENSG00000103426","CORO7-PAM16",0,0,0,0,0,0
"19520","ENSG00000262246","CORO7",163,244,131,1273,207,675
"19521","ENSG00000168140","VASN",1,6,4,14,0,8
"19522","ENSG00000103423","DNAJA3",291,395,203,650,146,447
"19523","ENSG00000153406","NMRAL1",95,173,96,603,106,337
"19524","ENSG00000103415","HMOX2",238,240,192,1020,156,661
"19525","ENSG00000089486","CDIP1",120,261,130,761,168,544
"19526","ENSG00000205832","C16orf96",5,0,1,7,2,11
"19527","ENSG00000261789","RP11-709D24.5",0,0,0,0,0,1
"19528","ENSG00000261612","SUB1P3",3,4,5,12,2,5
"19529","ENSG00000153443","UBALD1",84,106,55,482,92,336
"19530","ENSG00000102858","MGRN1",808,1262,545,3841,887,1993
"19531","ENSG00000263955","RN7SL850P",0,0,0,1,0,0
"19532","ENSG00000261442","RP11-709D24.6",1,3,2,5,0,3
"19533","ENSG00000168101","NUDT16L1",52,140,123,368,87,266
"19534","ENSG00000168096","ANKS3",42,81,48,181,43,121
"19535","ENSG00000266994","RP11-127I20.7",0,0,2,0,0,1
"19536","ENSG00000166246","C16orf71",2,5,3,7,3,9
"19537","ENSG00000103199","ZNF500",69,68,28,261,29,170
"19538","ENSG00000140623","SEPT12",2,1,1,0,0,2
"19539","ENSG00000267795","SMIM22",2,0,0,7,0,2
"19540","ENSG00000267077","RP11-127I20.5",1,0,0,5,0,0
"19541","ENSG00000067836","ROGDI",179,343,51,1854,386,1173
"19542","ENSG00000140632","GLYR1",560,748,323,2394,487,1291
"19543","ENSG00000256599","AC020663.1",0,0,0,0,0,0
"19544","ENSG00000118900","UBN1",951,1299,644,3068,802,2182
"19545","ENSG00000118898","PPL",6,6,1,7,7,10
"19546","ENSG00000200980","Y_RNA",0,0,0,0,0,0
"19547","ENSG00000103184","SEC14L5",0,0,0,148,25,35
"19548","ENSG00000267072","RP11-165E7.1",0,0,0,4,0,0
"19549","ENSG00000103174","NAGPA",303,409,314,2779,460,1489
